query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
5sex__1__1.A__1.G,1.0,1,100.0,928,82.41163793103448,82.41163793103448,High density,Protein structure,protein_lddt_max,70,100.0
5sez__1__1.A__1.G,0.75,1,100.0,936,82.0448717948718,82.0448717948718,High density,Protein structure,protein_lddt_max,70,75.0
5sf0__1__1.A__1.G,1.0,1,100.0,931,81.95273899033297,81.95273899033297,High density,Protein structure,protein_lddt_max,70,100.0
5sf1__1__1.A__1.E,0.75,1,100.0,928,82.07866379310344,82.07866379310344,High density,Protein structure,protein_lddt_max,70,75.0
5sf4__1__1.A__1.G,0.5,1,100.0,934,81.98715203426124,81.98715203426124,High density,Protein structure,protein_lddt_max,70,50.0
5sf7__1__1.A__1.G,1.0,1,100.0,932,82.25429184549357,82.25429184549357,High density,Protein structure,protein_lddt_max,70,100.0
5sfc__1__1.A__1.G,0.25,1,100.0,935,82.49411764705883,82.49411764705883,High density,Protein structure,protein_lddt_max,70,25.0
5sfd__1__1.A__1.G,0.5,1,100.0,931,82.11278195488721,82.11278195488721,High density,Protein structure,protein_lddt_max,70,50.0
5sfg__1__1.A__1.G,0.25,1,100.0,927,81.95577130528586,81.95577130528586,High density,Protein structure,protein_lddt_max,70,25.0
5sfh__1__1.A__1.G,0.5,1,100.0,931,82.3609022556391,82.3609022556391,High density,Protein structure,protein_lddt_max,70,50.0
5sfl__1__1.A__1.G,0.5,1,100.0,931,82.71535982814179,82.71535982814179,High density,Protein structure,protein_lddt_max,70,50.0
5sfn__1__1.A__1.G,1.0,1,100.0,934,82.11027837259101,82.11027837259101,High density,Protein structure,protein_lddt_max,70,100.0
5sfo__1__1.A__1.G,1.0,1,100.0,931,81.70032223415681,81.70032223415681,High density,Protein structure,protein_lddt_max,70,100.0
5sfp__1__1.A__1.G,0.75,1,100.0,932,82.09334763948497,82.09334763948497,High density,Protein structure,protein_lddt_max,70,75.0
5sfr__1__1.A__1.G,0.25,1,100.0,940,82.09042553191489,82.09042553191489,High density,Protein structure,protein_lddt_max,70,25.0
5sfx__1__1.A__1.G,0.5,1,100.0,930,81.9494623655914,81.9494623655914,High density,Protein structure,protein_lddt_max,70,50.0
5sfy__1__1.A__1.G,0.5,1,100.0,935,82.28235294117647,82.28235294117647,High density,Protein structure,protein_lddt_max,70,50.0
5sg0__1__1.A__1.G,1.0,1,100.0,933,82.17792068595926,82.17792068595926,High density,Protein structure,protein_lddt_max,70,100.0
5sg5__1__1.A__1.G,0.25,1,100.0,929,82.54144241119484,82.54144241119484,High density,Protein structure,protein_lddt_max,70,25.0
5sg6__1__1.A__1.G,0.5,1,100.0,927,82.11003236245955,82.11003236245955,High density,Protein structure,protein_lddt_max,70,50.0
5sg9__1__1.A__1.G,0.0,1,100.0,929,82.23466092572659,82.23466092572659,High density,Protein structure,protein_lddt_max,70,0.0
5sgh__1__1.A__1.G,1.0,1,100.0,933,82.16077170418006,82.16077170418006,High density,Protein structure,protein_lddt_max,70,100.0
5sgk__1__1.A__1.G,1.0,1,100.0,933,82.19185423365488,82.19185423365488,High density,Protein structure,protein_lddt_max,70,100.0
5sgl__1__1.A__1.G,0.0,1,99.0,934,81.38115631691649,81.38115631691649,High density,Protein structure,protein_lddt_max,70,0.0
5sgm__1__1.A__1.D,1.0,1,99.0,932,81.16309012875537,81.16309012875537,High density,Protein structure,protein_lddt_max,70,100.0
5sgp__1__1.A__1.H,1.0,1,100.0,934,81.90149892933619,81.90149892933619,High density,Protein structure,protein_lddt_max,70,100.0
5sgr__1__1.A__1.G,0.75,1,100.0,930,82.30430107526881,82.30430107526881,High density,Protein structure,protein_lddt_max,70,75.0
5sgs__1__1.A__1.G,1.0,1,100.0,931,82.0515574650913,82.0515574650913,High density,Protein structure,protein_lddt_max,70,100.0
5sgt__1__1.A__1.G,0.25,1,100.0,930,82.3741935483871,82.3741935483871,High density,Protein structure,protein_lddt_max,70,25.0
5sgw__1__1.A__1.G,1.0,1,100.0,934,82.04282655246253,82.04282655246253,High density,Protein structure,protein_lddt_max,70,100.0
5sgx__1__1.A__1.G,0.75,1,100.0,934,82.01820128479658,82.01820128479658,High density,Protein structure,protein_lddt_max,70,75.0
5sgz__1__1.A__1.G,1.0,1,100.0,929,82.2443487621098,82.2443487621098,High density,Protein structure,protein_lddt_max,70,100.0
5sh0__1__1.A__1.G,0.0,1,100.0,933,81.89067524115755,81.89067524115755,High density,Protein structure,protein_lddt_max,70,0.0
5sh1__1__1.A__1.G,0.0,1,100.0,931,82.33190118152524,82.33190118152524,High density,Protein structure,protein_lddt_max,70,0.0
5sh2__1__1.A__1.G,1.0,1,100.0,932,82.3175965665236,82.3175965665236,High density,Protein structure,protein_lddt_max,70,100.0
5sh6__1__1.A__1.G,0.5,1,100.0,937,81.7513340448239,81.7513340448239,High density,Protein structure,protein_lddt_max,70,50.0
5sh8__1__1.A__1.E,0.25,1,100.0,931,82.23630504833513,82.23630504833513,High density,Protein structure,protein_lddt_max,70,25.0
5shc__1__1.A__1.G,1.0,1,100.0,934,82.20021413276231,82.20021413276231,High density,Protein structure,protein_lddt_max,70,100.0
5shf__1__1.A__1.G,1.0,1,100.0,931,82.06015037593986,82.06015037593986,High density,Protein structure,protein_lddt_max,70,100.0
5shg__1__1.A__1.G,1.0,1,100.0,932,82.2381974248927,82.2381974248927,High density,Protein structure,protein_lddt_max,70,100.0
5shh__1__1.A__1.G,0.75,1,100.0,940,82.39787234042554,82.39787234042554,High density,Protein structure,protein_lddt_max,70,75.0
5shi__1__1.A__1.E,0.5,1,100.0,933,82.15005359056806,82.15005359056806,High density,Protein structure,protein_lddt_max,70,50.0
5shp__1__1.A__1.G,0.75,1,100.0,932,82.47961373390558,82.47961373390558,High density,Protein structure,protein_lddt_max,70,75.0
5shu__1__1.A__1.G,1.0,1,100.0,928,82.33405172413794,82.33405172413794,High density,Protein structure,protein_lddt_max,70,100.0
5shx__1__1.A__1.G,0.5,1,100.0,931,82.1063372717508,82.1063372717508,High density,Protein structure,protein_lddt_max,70,50.0
5si3__1__1.A__1.E,0.5,1,100.0,937,81.77908217716116,81.77908217716116,High density,Protein structure,protein_lddt_max,70,50.0
5si6__1__1.A__1.G,1.0,1,100.0,930,82.23010752688172,82.23010752688172,High density,Protein structure,protein_lddt_max,70,100.0
5si7__1__1.A__1.G,0.75,1,100.0,931,82.32223415682063,82.32223415682063,High density,Protein structure,protein_lddt_max,70,75.0
5si8__1__1.A__1.G,0.75,1,100.0,929,82.23573735199139,82.23573735199139,High density,Protein structure,protein_lddt_max,70,75.0
5si9__1__1.A__1.G,0.75,1,100.0,929,82.30355220667384,82.30355220667384,High density,Protein structure,protein_lddt_max,70,75.0
5sie__1__1.A__1.G,0.75,1,100.0,930,82.28494623655914,82.28494623655914,High density,Protein structure,protein_lddt_max,70,75.0
5sif__1__1.A__1.I,0.5,1,100.0,932,82.28862660944206,82.28862660944206,High density,Protein structure,protein_lddt_max,70,50.0
5sig__1__1.A__1.G,0.0,1,100.0,929,82.46286329386437,82.46286329386437,High density,Protein structure,protein_lddt_max,70,0.0
5sih__1__1.A__1.H,0.0,1,100.0,934,81.94218415417559,81.94218415417559,High density,Protein structure,protein_lddt_max,70,0.0
5sio__1__1.A__1.H,1.0,1,100.0,936,82.20192307692308,82.20192307692308,High density,Protein structure,protein_lddt_max,70,100.0
5sip__1__1.A__1.G,0.5,1,100.0,936,82.08333333333333,82.08333333333333,High density,Protein structure,protein_lddt_max,70,50.0
5siq__1__1.A__1.H,0.25,1,100.0,930,81.80430107526881,81.80430107526881,High density,Protein structure,protein_lddt_max,70,25.0
5sir__1__1.A__1.G,1.0,1,100.0,928,81.71443965517241,81.71443965517241,High density,Protein structure,protein_lddt_max,70,100.0
5siy__1__1.A__1.G,0.75,1,100.0,939,82.0021299254526,82.0021299254526,High density,Protein structure,protein_lddt_max,70,75.0
5siz__1__1.A__1.G,0.0,1,100.0,931,81.90977443609023,81.90977443609023,High density,Protein structure,protein_lddt_max,70,0.0
5sj1__1__1.A__1.G,0.5,1,100.0,936,82.2724358974359,82.2724358974359,High density,Protein structure,protein_lddt_max,70,50.0
5sj7__1__1.A__1.G,0.5,1,100.0,932,82.16845493562232,82.16845493562232,High density,Protein structure,protein_lddt_max,70,50.0
5sj8__1__1.A__1.G,1.0,1,100.0,936,81.84722222222223,81.84722222222223,High density,Protein structure,protein_lddt_max,70,100.0
5sjb__1__1.A__1.G,0.5,1,100.0,929,82.77179763186221,82.77179763186221,High density,Protein structure,protein_lddt_max,70,50.0
5sjc__1__1.A__1.F,0.75,1,99.0,934,81.35117773019272,81.35117773019272,High density,Protein structure,protein_lddt_max,70,75.0
5sjf__1__1.A__1.H,0.0,1,100.0,935,81.78395721925133,81.78395721925133,High density,Protein structure,protein_lddt_max,70,0.0
5sjg__1__1.A__1.G,0.75,1,100.0,940,82.06382978723404,82.06382978723404,High density,Protein structure,protein_lddt_max,70,75.0
5sjl__1__1.A__1.G,0.25,1,100.0,939,82.05324813631523,82.05324813631523,High density,Protein structure,protein_lddt_max,70,25.0
5sjo__1__1.A__1.H,0.75,1,100.0,930,82.02043010752688,82.02043010752688,High density,Protein structure,protein_lddt_max,70,75.0
5sjt__1__1.A__1.H,1.0,1,100.0,933,81.85744908896034,81.85744908896034,High density,Protein structure,protein_lddt_max,70,100.0
5sju__1__1.A__1.G,0.5,1,99.0,930,80.90215053763441,80.90215053763441,High density,Protein structure,protein_lddt_max,70,50.0
5sjv__1__1.A__1.G,1.0,1,100.0,934,81.85974304068523,81.85974304068523,High density,Protein structure,protein_lddt_max,70,100.0
5sjw__1__1.A__1.I,0.75,1,100.0,934,82.04282655246253,82.04282655246253,High density,Protein structure,protein_lddt_max,70,75.0
5sk0__1__1.A__1.G,0.25,1,100.0,940,81.92127659574469,81.92127659574469,High density,Protein structure,protein_lddt_max,70,25.0
5sk4__1__1.A__1.G,1.0,1,100.0,930,82.25376344086021,82.25376344086021,High density,Protein structure,protein_lddt_max,70,100.0
5sk5__1__1.A__1.H,1.0,1,100.0,932,82.15665236051503,82.15665236051503,High density,Protein structure,protein_lddt_max,70,100.0
5sk6__1__1.A__1.G,1.0,1,100.0,927,82.06796116504854,82.06796116504854,High density,Protein structure,protein_lddt_max,70,100.0
5sk9__1__1.A__1.G,1.0,1,99.0,936,81.95405982905983,81.95405982905983,High density,Protein structure,protein_lddt_max,70,100.0
5skd__1__1.A__1.G,0.5,1,100.0,938,82.24413646055437,82.24413646055437,High density,Protein structure,protein_lddt_max,70,50.0
5skf__1__1.A__1.I,0.25,1,100.0,939,81.5814696485623,81.5814696485623,High density,Protein structure,protein_lddt_max,70,25.0
5skg__1__1.A__1.G,0.75,1,100.0,929,82.15392895586652,82.15392895586652,High density,Protein structure,protein_lddt_max,70,75.0
5skh__1__1.A__1.H,1.0,1,100.0,929,81.68675995694295,81.68675995694295,High density,Protein structure,protein_lddt_max,70,100.0
5ski__1__1.A__1.G,0.75,1,100.0,932,81.75214592274678,81.75214592274678,High density,Protein structure,protein_lddt_max,70,75.0
5skl__1__1.A__1.G,1.0,1,100.0,932,81.96888412017168,81.96888412017168,High density,Protein structure,protein_lddt_max,70,100.0
5skm__1__1.A__1.G,0.75,1,100.0,928,82.13254310344827,82.13254310344827,High density,Protein structure,protein_lddt_max,70,75.0
5sko__1__1.A__1.G,0.5,1,100.0,938,82.20149253731343,82.20149253731343,High density,Protein structure,protein_lddt_max,70,50.0
5skr__1__1.A__1.G,0.75,1,100.0,936,81.92735042735043,81.92735042735043,High density,Protein structure,protein_lddt_max,70,75.0
5skt__1__1.A__1.G,0.0,1,100.0,933,82.28295819935691,82.28295819935691,High density,Protein structure,protein_lddt_max,70,0.0
5sku__1__1.A__1.G,0.0,1,100.0,932,82.01824034334764,82.01824034334764,High density,Protein structure,protein_lddt_max,70,0.0
5slg__1__1.A__1.G,0.0,1,76.0,8,74.875,74.875,Low density,Protein structure,protein_lddt_max,70,0.0
5umb__1__1.A__1.E_1.F_1.G,1.0,1,94.0,281,89.09964412811388,89.09964412811388,Low density,Protein structure,protein_lddt_max,70,100.0
6x4j__1__1.A_2.A__2.B_2.C_2.D_2.E,1.0,2,100.0,52,92.15384615384616,92.15384615384616,Low density,Protein structure,protein_lddt_max,70,100.0
6x4k__1__1.A_2.A__1.B_1.C_1.D_1.E,1.0,2,100.0,52,91.84615384615384,91.84615384615384,Low density,Protein structure,protein_lddt_max,70,100.0
6x4l__1__1.A_2.A__2.B_2.C_2.D_2.E,1.0,2,100.0,52,91.84615384615384,91.84615384615384,Low density,Protein structure,protein_lddt_max,70,100.0
6xqr__1__1.B__1.E,0.0,1,100.0,406,93.86699507389163,93.86699507389163,High density,Protein structure,protein_lddt_max,70,0.0
6z48__1__1.B__1.J,1.0,1,99.0,2498,82.95556445156124,82.95556445156124,High density,Protein structure,protein_lddt_max,70,100.0
6zfz__1__1.A__1.B,0.75,1,90.0,413,81.10895883777239,81.10895883777239,High density,Protein structure,protein_lddt_max,70,75.0
6zg4__1__1.A__1.B,0.25,1,90.0,412,80.91504854368932,80.91504854368932,High density,Protein structure,protein_lddt_max,70,25.0
6zg9__1__1.A__1.B,1.0,1,90.0,399,80.92481203007519,80.92481203007519,High density,Protein structure,protein_lddt_max,70,100.0
6zk2__1__1.A_1.B__1.E_1.F,0.5,1,79.0,32,76.6875,76.6875,Low density,Protein structure,protein_lddt_max,70,50.0
6zk5__1__1.A_1.B__1.F_1.G,1.0,1,80.0,32,77.4375,77.4375,Low density,Protein structure,protein_lddt_max,70,100.0
6zx1__1__1.A_2.A__1.B,1.0,1,100.0,73,97.52054794520548,97.52054794520548,Low density,Protein structure,protein_lddt_max,70,100.0
7a4q__1__1.A__1.B,1.0,1,99.0,614,88.0928338762215,88.0928338762215,High density,Protein structure,protein_lddt_max,70,100.0
7ab9__1__1.A__1.G_1.P,0.5,1,100.0,954,83.84800838574424,83.84800838574424,High density,Protein structure,protein_lddt_max,70,50.0
7abe__1__1.A__1.G_1.W,1.0,1,100.0,961,83.97086368366286,83.97086368366286,High density,Protein structure,protein_lddt_max,70,100.0
7abj__1__1.A__1.T,1.0,1,100.0,961,84.10197710718002,84.10197710718002,High density,Protein structure,protein_lddt_max,70,100.0
7afz__1__2.A__2.B_2.C_2.D,0.75,1,100.0,123,96.9349593495935,96.9349593495935,Low density,Protein structure,protein_lddt_max,70,75.0
7ait__1__1.A__1.C,0.25,1,100.0,2883,90.19979188345474,90.19979188345474,High density,Protein structure,protein_lddt_max,70,25.0
7aiu__1__1.A__1.H,0.0,1,100.0,2884,90.10922330097087,90.10922330097087,High density,Protein structure,protein_lddt_max,70,0.0
7an8__1__1.B__1.E,0.75,1,67.0,0,,67.0,No neighbours,Protein structure,protein_lddt_max,70,75.0
7ana__1__1.A__1.C,0.25,1,68.0,0,,68.0,No neighbours,Protein structure,protein_lddt_max,70,25.0
7au4__1__1.A_2.A__2.D,1.0,1,100.0,889,96.67716535433071,96.67716535433071,High density,Protein structure,protein_lddt_max,70,100.0
7ay9__1__1.A__1.I,0.75,1,100.0,639,87.95931142410015,87.95931142410015,High density,Protein structure,protein_lddt_max,70,75.0
7aya__1__1.A__1.H_1.N_1.U,1.0,1,100.0,681,86.92657856093979,86.92657856093979,High density,Protein structure,protein_lddt_max,70,100.0
7ayz__1__1.A__1.D,0.25,1,98.0,24,94.16666666666667,94.16666666666667,Low density,Protein structure,protein_lddt_max,70,25.0
7b2u__1__1.A_1.B__1.C,0.5,1,100.0,889,96.1912260967379,96.1912260967379,High density,Protein structure,protein_lddt_max,70,50.0
7b3g__1__1.A__1.I,0.5,1,100.0,85,97.56470588235294,97.56470588235294,Low density,Protein structure,protein_lddt_max,70,50.0
7b3h__1__1.A__1.H,1.0,1,100.0,85,96.94117647058823,96.94117647058823,Low density,Protein structure,protein_lddt_max,70,100.0
7b3i__1__1.A__1.I,1.0,1,100.0,85,97.25882352941177,97.25882352941177,Low density,Protein structure,protein_lddt_max,70,100.0
7b3p__1__1.A__1.G,1.0,1,100.0,85,96.74117647058823,96.74117647058823,Low density,Protein structure,protein_lddt_max,70,100.0
7b3x__1__1.A__1.F,1.0,1,100.0,85,97.29411764705883,97.29411764705883,Low density,Protein structure,protein_lddt_max,70,100.0
7b4x__1__1.A__1.M,1.0,1,100.0,85,96.97647058823529,96.97647058823529,Low density,Protein structure,protein_lddt_max,70,100.0
7b6v__1__1.C_1.D__1.Y,0.25,1,97.0,1637,84.56444715943799,84.56444715943799,High density,Protein structure,protein_lddt_max,70,25.0
7b77__1__1.A_2.A__1.F,1.0,1,100.0,889,96.0562429696288,96.0562429696288,High density,Protein structure,protein_lddt_max,70,100.0
7b87__1__1.A__1.N,0.0,1,100.0,85,97.3529411764706,97.3529411764706,Low density,Protein structure,protein_lddt_max,70,0.0
7b89__1__1.A__1.D,0.75,1,99.0,85,96.12941176470588,96.12941176470588,Low density,Protein structure,protein_lddt_max,70,75.0
7b8a__1__1.A__1.F,0.0,1,100.0,85,96.16470588235295,96.16470588235295,Low density,Protein structure,protein_lddt_max,70,0.0
7bbn__1__1.B__1.E_1.F,1.0,1,96.0,219,85.38812785388127,85.38812785388127,Low density,Protein structure,protein_lddt_max,70,100.0
7bc1__1__2.A_3.A__3.B_3.C,0.5,2,86.0,16,76.0,76.0,Low density,Protein structure,protein_lddt_max,70,50.0
7bc9__1__1.A__1.J,0.0,1,99.0,85,97.04705882352941,97.04705882352941,Low density,Protein structure,protein_lddt_max,70,0.0
7bcf__1__1.A__1.H,1.0,1,100.0,85,97.43529411764706,97.43529411764706,Low density,Protein structure,protein_lddt_max,70,100.0
7bdd__1__1.A__1.G,0.0,1,100.0,85,96.94117647058823,96.94117647058823,Low density,Protein structure,protein_lddt_max,70,0.0
7bi6__1__1.A__1.B_1.G,0.0,1,71.0,53,70.33962264150944,70.33962264150944,Low density,Protein structure,protein_lddt_max,70,0.0
7bia__1__1.A_1.B__1.D_1.E,0.5,2,100.0,1196,80.08361204013377,80.08361204013377,High density,Protein structure,protein_lddt_max,70,50.0
7bis__1__1.A_2.A__2.F,0.5,1,100.0,65,90.8,90.8,Low density,Protein structure,protein_lddt_max,70,50.0
7bk9__1__1.A_2.A__2.F,0.0,1,98.0,76,87.14473684210526,87.14473684210526,Low density,Protein structure,protein_lddt_max,70,0.0
7blw__1__1.A__1.F,0.5,1,99.0,85,96.96470588235294,96.96470588235294,Low density,Protein structure,protein_lddt_max,70,50.0
7bm3__1__1.A__1.M_1.P,0.0,1,99.0,85,97.12941176470588,97.12941176470588,Low density,Protein structure,protein_lddt_max,70,0.0
7bm7__1__1.A__1.F,0.0,1,100.0,85,97.6,97.6,Low density,Protein structure,protein_lddt_max,70,0.0
7bmd__1__1.A__1.G_1.R,0.0,1,100.0,85,97.55294117647058,97.55294117647058,Low density,Protein structure,protein_lddt_max,70,0.0
7bn5__1__1.A__1.G,1.0,1,99.0,85,96.4235294117647,96.4235294117647,Low density,Protein structure,protein_lddt_max,70,100.0
7bn6__1__1.A__1.C_1.D,0.875,2,100.0,440,79.6590909090909,79.6590909090909,High density,Protein structure,protein_lddt_max,70,87.5
7bn7__1__1.A__1.E_1.F,1.0,1,100.0,216,80.64351851851852,80.64351851851852,Low density,Protein structure,protein_lddt_max,70,100.0
7bn8__1__1.A__1.G,0.75,1,100.0,85,97.16470588235295,97.16470588235295,Low density,Protein structure,protein_lddt_max,70,75.0
7bnc__1__1.A__1.K,0.5,1,99.0,85,96.21176470588236,96.21176470588236,Low density,Protein structure,protein_lddt_max,70,50.0
7bo0__1__1.A__1.C_1.D,0.75,2,100.0,440,79.26818181818182,79.26818181818182,High density,Protein structure,protein_lddt_max,70,75.0
7bo3__1__1.A__1.M_1.N,0.75,1,100.0,2880,92.70590277777778,92.70590277777778,High density,Protein structure,protein_lddt_max,70,75.0
7bo7__1__1.A__1.C,1.0,1,98.0,88,95.3409090909091,95.3409090909091,Low density,Protein structure,protein_lddt_max,70,100.0
7cqs__1__1.A__1.B_1.C,1.0,1,99.0,34,93.3529411764706,93.3529411764706,Low density,Protein structure,protein_lddt_max,70,100.0
7dcb__1__1.A_1.B__1.C_1.D,0.5,1,99.0,19,78.57894736842105,78.57894736842105,Low density,Protein structure,protein_lddt_max,70,50.0
7dcw__1__1.A_1.B__1.D,0.0,1,100.0,19,78.89473684210526,78.89473684210526,Low density,Protein structure,protein_lddt_max,70,0.0
7dg4__1__1.A__1.B,0.75,1,100.0,519,76.1271676300578,76.1271676300578,High density,Protein structure,protein_lddt_max,70,75.0
7dgc__1__1.A_1.B__1.C_1.D,0.25,1,100.0,19,78.89473684210526,78.89473684210526,Low density,Protein structure,protein_lddt_max,70,25.0
7dh3__1__1.A__1.B,0.75,1,100.0,500,76.604,76.604,High density,Protein structure,protein_lddt_max,70,75.0
7dh9__1__1.A__1.B,1.0,1,100.0,536,76.07089552238806,76.07089552238806,High density,Protein structure,protein_lddt_max,70,100.0
7dhn__1__1.A__1.B,0.25,1,99.0,529,76.07939508506617,76.07939508506617,High density,Protein structure,protein_lddt_max,70,25.0
7dji__1__1.D_1.E__1.L,0.25,1,98.0,1473,85.35709436524101,85.35709436524101,High density,Protein structure,protein_lddt_max,70,25.0
7dlc__1__1.A_1.B__1.C_1.D,0.5,1,100.0,19,78.94736842105263,78.94736842105263,Low density,Protein structure,protein_lddt_max,70,50.0
7dm6__1__1.A_1.B__1.C_1.D,0.0,1,100.0,19,78.73684210526316,78.73684210526316,Low density,Protein structure,protein_lddt_max,70,0.0
7dmc__1__1.A__1.B_1.E_1.F,0.5,1,100.0,754,90.20689655172414,90.20689655172414,High density,Protein structure,protein_lddt_max,70,50.0
7dn8__1__1.B__1.I_1.J,1.0,1,92.0,236,79.77118644067797,79.77118644067797,Low density,Protein structure,protein_lddt_max,70,100.0
7dow__1__1.A_1.B__1.C,0.5,1,100.0,19,78.47368421052632,78.47368421052632,Low density,Protein structure,protein_lddt_max,70,50.0
7dox__1__1.A_1.B__1.E_1.F,0.25,1,100.0,19,78.73684210526316,78.73684210526316,Low density,Protein structure,protein_lddt_max,70,25.0
7doy__1__1.A_1.B__1.E,0.25,1,100.0,19,78.84210526315789,78.84210526315789,Low density,Protein structure,protein_lddt_max,70,25.0
7dpk__1__1.A_1.B__1.C_1.D,0.5,1,100.0,19,79.3157894736842,79.3157894736842,Low density,Protein structure,protein_lddt_max,70,50.0
7du9__1__1.A_1.B__1.D,0.75,1,100.0,2732,79.18301610541728,79.18301610541728,High density,Protein structure,protein_lddt_max,70,75.0
7dua__1__1.B__1.D,1.0,1,98.0,2488,78.9903536977492,78.9903536977492,High density,Protein structure,protein_lddt_max,70,100.0
7dut__1__2.A__2.B_2.C,1.0,1,66.0,0,,66.0,No neighbours,Protein structure,protein_lddt_max,70,100.0
7duy__1__1.A__1.B_1.C_1.D,0.5,1,99.0,366,82.94808743169399,82.94808743169399,High density,Protein structure,protein_lddt_max,70,50.0
7dva__1__1.A__1.C_1.E,1.0,1,78.0,39,73.87179487179488,73.87179487179488,Low density,Protein structure,protein_lddt_max,70,100.0
7dvb__1__1.A__1.E,1.0,1,78.0,39,73.56410256410257,73.56410256410257,Low density,Protein structure,protein_lddt_max,70,100.0
7dxl__1__1.A__1.C,0.75,1,95.0,2762,78.06625633598841,78.06625633598841,High density,Protein structure,protein_lddt_max,70,75.0
7dyq__1__1.A__1.B_1.C,0.0,1,100.0,284,88.57042253521126,88.57042253521126,Low density,Protein structure,protein_lddt_max,70,0.0
7dyw__1__1.A__1.B_1.C,0.75,1,98.0,20,88.9,88.9,Low density,Protein structure,protein_lddt_max,70,75.0
7e1n__1__1.A_1.B__1.D,0.0,1,62.0,0,,62.0,No neighbours,Protein structure,protein_lddt_max,70,0.0
