query_system,mean_success,n_proper_ligands,best_similarity,density,mean_similarity_above_threshold,visualisation_similarity,density_group,similarity_metric,similarity_column,threshold,mean_success_percent
7dg4__1__1.A__1.B,0.75,1,100.0,14,97.85714285714286,97.85714285714286,Low density,Protein sequence,protein_fident_max,50,75.0
7dgc__1__1.A_1.B__1.C_1.D,0.25,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,25.0
7dh3__1__1.A__1.B,0.75,1,100.0,14,97.85714285714286,97.85714285714286,Low density,Protein sequence,protein_fident_max,50,75.0
7dh9__1__1.A__1.B,1.0,1,100.0,14,97.85714285714286,97.85714285714286,Low density,Protein sequence,protein_fident_max,50,100.0
7dhn__1__1.A__1.B,0.25,1,100.0,14,97.71428571428571,97.71428571428571,Low density,Protein sequence,protein_fident_max,50,25.0
7dji__1__1.D_1.E__1.L,0.25,1,100.0,694,89.17291066282421,89.17291066282421,High density,Protein sequence,protein_fident_max,50,25.0
7dlc__1__1.A_1.B__1.C_1.D,0.5,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,50.0
7dm6__1__1.A_1.B__1.C_1.D,0.0,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,0.0
7dmc__1__1.A__1.B_1.E_1.F,0.5,1,100.0,724,87.45027624309392,87.45027624309392,High density,Protein sequence,protein_fident_max,50,50.0
7dn8__1__1.B__1.I_1.J,1.0,1,100.0,158,82.68354430379746,82.68354430379746,High density,Protein sequence,protein_fident_max,50,100.0
7dow__1__1.A_1.B__1.C,0.5,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,50.0
7dox__1__1.A_1.B__1.E_1.F,0.25,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,25.0
7doy__1__1.A_1.B__1.E,0.25,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,25.0
7dpk__1__1.A_1.B__1.C_1.D,0.5,1,100.0,4,99.5,99.5,Low density,Protein sequence,protein_fident_max,50,50.0
7du9__1__1.A_1.B__1.D,0.75,1,100.0,271,59.86346863468635,59.86346863468635,High density,Protein sequence,protein_fident_max,50,75.0
7dua__1__1.B__1.D,1.0,1,98.0,271,59.22140221402214,59.22140221402214,High density,Protein sequence,protein_fident_max,50,100.0
7dut__1__2.A__2.B_2.C,1.0,1,26.0,0,,26.0,No neighbours,Protein sequence,protein_fident_max,50,100.0
7duy__1__1.A__1.B_1.C_1.D,0.5,1,100.0,103,99.42718446601941,99.42718446601941,Low density,Protein sequence,protein_fident_max,50,50.0
7dva__1__1.A__1.C_1.E,1.0,1,38.0,0,,38.0,No neighbours,Protein sequence,protein_fident_max,50,100.0
7dvb__1__1.A__1.E,1.0,1,38.0,0,,38.0,No neighbours,Protein sequence,protein_fident_max,50,100.0
7dxl__1__1.A__1.C,0.75,1,98.0,53,89.35849056603773,89.35849056603773,Low density,Protein sequence,protein_fident_max,50,75.0
7dyq__1__1.A__1.B_1.C,0.0,1,100.0,283,76.42402826855124,76.42402826855124,High density,Protein sequence,protein_fident_max,50,0.0
7dyw__1__1.A__1.B_1.C,0.75,1,100.0,14,98.14285714285714,98.14285714285714,Low density,Protein sequence,protein_fident_max,50,75.0
7e1n__1__1.A_1.B__1.D,0.0,1,23.0,0,,23.0,No neighbours,Protein sequence,protein_fident_max,50,0.0
7e3n__1__1.A_2.A__1.B_1.C_1.D,1.0,1,100.0,219,67.4337899543379,67.4337899543379,High density,Protein sequence,protein_fident_max,50,100.0
7e48__1__1.C__1.J_1.K,0.375,2,100.0,984,98.6239837398374,98.6239837398374,High density,Protein sequence,protein_fident_max,50,37.5
